Site,LU,Elevation,Depth,Cyperaceae,Typha/Sparganium,Alternanthera,Apiaceae,Argemone,Asteraceae HS,Asteraceae LS,Asteraceae Liguliflorae,Astragalus/Vicia,Brassicaceae,Caryophyllaceae,Cheno-Am,Cirsium,Convolvulaceae,Croton,Dipsacus,Echium,Euphorbiaceae,Fagopyrum,Fragaria,Gossypium,Impatiens,Lamiaceae,Liliaceae,Lythraceae,Melilotus,Mitchellia,Parthenocissus,Plantago II,Plantago,Poaceae,Polygonaceae,Polygonum,Ranunculaceae,Richardia,Rosa,Rosaceae,Rubus,Scrophulariaceae,Solanaceae,Trifolium,TRifolium repens,Urtica,Yucca,Cerealea,Zea mays,Acer,Ailanthus,Alnus,Betula,Carpinus,Carya,Castanea,Cephalanthus,Cornus,Corylus,Fabaceae,Fagus,Fraxinus,Ilex,Juglans nigra,Liquidambar,Liriodendron,Magnolia,Malus/Pyrus,Myrtaceae,Nyssa aquatica,Nyssa sylvatica,Ostrya,Picea,Pinus,Platanus,Prunus,Quercus,Rhus,Salix,Sambucus,TCT,Tilia,Tsuga,Ulmus,Viburnum,Vitis,Indeterminate,Unknown G,Osmunda,Aquatics,Herbs and Cultigens,Arboreal,Other,Ferns,Total Pollen Sum,Total Ferns
SB2,1,498.1,0.0,2 ,0 ,0 ,1 ,2 ,1 ,21 ,2 ,1 ,1 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,7 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,4 ,0 ,35 ,4 ,0 ,0 ,1 ,0 ,0 ,0 ,71 ,2 ,4 ,21 ,0 ,0 ,0 ,7 ,0 ,0 ,1 ,0 ,0 ,4 ,0 ,0 ,2 ,42 ,157 ,4 ,0 ,205 ,0 
SB2,1,498.0,-0.1,5 ,0 ,0 ,1 ,0 ,1 ,48 ,0 ,0 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,14 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,8 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,41 ,2 ,1 ,36 ,0 ,1 ,0 ,30 ,0 ,0 ,1 ,0 ,0 ,8 ,0 ,0 ,5 ,73 ,130 ,8 ,0 ,216 ,0 
SB2,2,497.9,-0.2,3 ,0 ,0 ,0 ,0 ,1 ,56 ,2 ,0 ,2 ,1 ,5 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,13 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,45 ,2 ,1 ,36 ,1 ,0 ,0 ,29 ,0 ,1 ,3 ,0 ,0 ,2 ,0 ,1 ,3 ,86 ,129 ,2 ,1 ,220 ,1 
SB2,2,497.8,-0.3,5 ,0 ,0 ,3 ,0 ,1 ,76 ,2 ,0 ,1 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,15 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,2 ,0 ,1 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,1 ,3 ,1 ,0 ,31 ,3 ,0 ,34 ,1 ,1 ,0 ,25 ,0 ,1 ,2 ,0 ,0 ,6 ,0 ,0 ,5 ,109 ,113 ,6 ,0 ,233 ,0 
SB2,2,497.7,-0.4,5 ,0 ,0 ,2 ,0 ,1 ,81 ,2 ,0 ,1 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,20 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,0 ,0 ,3 ,3 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,26 ,2 ,0 ,27 ,0 ,0 ,0 ,44 ,0 ,1 ,1 ,0 ,0 ,2 ,1 ,0 ,4 ,121 ,115 ,3 ,0 ,243 ,0 
SB2,2,497.6,-0.5,1 ,0 ,0 ,1 ,0 ,0 ,79 ,2 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,30 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,7 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,27 ,2 ,1 ,33 ,1 ,1 ,0 ,26 ,0 ,0 ,0 ,0 ,0 ,3 ,1 ,0 ,1 ,120 ,106 ,4 ,0 ,231 ,0 
SB2,2,497.5,-0.6,1 ,0 ,0 ,13 ,0 ,1 ,83 ,6 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,6 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21 ,2 ,0 ,34 ,0 ,0 ,1 ,22 ,0 ,1 ,0 ,0 ,0 ,6 ,0 ,0 ,1 ,140 ,99 ,6 ,0 ,246 ,0 
SB2,3,497.4,-0.7,3 ,0 ,0 ,6 ,0 ,0 ,101 ,3 ,1 ,0 ,1 ,6 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,6 ,15 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,0 ,0 ,4 ,1 ,0 ,0 ,1 ,1 ,0 ,1 ,7 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,20 ,3 ,0 ,24 ,0 ,2 ,0 ,19 ,0 ,1 ,3 ,0 ,0 ,4 ,0 ,0 ,3 ,154 ,87 ,4 ,0 ,248 ,0 
SB2,3,497.3,-0.8,2 ,0 ,0 ,7 ,0 ,2 ,94 ,1 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,17 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,12 ,0 ,1 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18 ,4 ,0 ,39 ,0 ,2 ,0 ,8 ,1 ,0 ,1 ,0 ,0 ,5 ,0 ,1 ,2 ,151 ,93 ,5 ,1 ,251 ,1 
SB2,3,497.2,-0.9,0 ,0 ,0 ,9 ,0 ,1 ,96 ,2 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,11 ,12 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,4 ,25 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,10 ,1 ,0 ,30 ,0 ,2 ,0 ,15 ,0 ,0 ,2 ,0 ,0 ,8 ,1 ,0 ,0 ,143 ,95 ,9 ,0 ,247 ,0 
SB2,3,497.1,-1.0,1 ,0 ,0 ,9 ,0 ,1 ,102 ,1 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,14 ,0 ,0 ,0 ,1 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,3 ,8 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,0 ,9 ,2 ,1 ,39 ,0 ,3 ,0 ,8 ,0 ,0 ,1 ,0 ,0 ,3 ,0 ,1 ,1 ,145 ,82 ,3 ,1 ,231 ,1 
SB2,3,497.0,-1.1,1 ,0 ,0 ,6 ,0 ,4 ,93 ,0 ,1 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,11 ,12 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,4 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,1 ,0 ,0 ,7 ,7 ,0 ,40 ,0 ,0 ,0 ,7 ,0 ,0 ,1 ,0 ,0 ,6 ,0 ,0 ,1 ,136 ,74 ,6 ,0 ,217 ,0 
SB2,3,496.9,-1.2,1 ,0 ,0 ,12 ,0 ,0 ,81 ,0 ,0 ,0 ,2 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,8 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,2 ,1 ,0 ,0 ,3 ,0 ,0 ,4 ,14 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,15 ,4 ,0 ,40 ,0 ,1 ,0 ,14 ,1 ,0 ,3 ,0 ,1 ,7 ,0 ,0 ,1 ,127 ,107 ,7 ,0 ,242 ,0 
SB2,3,496.8,-1.3,1 ,0 ,0 ,6 ,0 ,2 ,99 ,1 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,13 ,1 ,0 ,0 ,0 ,0 ,1 ,1 ,1 ,0 ,1 ,4 ,5 ,0 ,3 ,0 ,0 ,0 ,0 ,1 ,0 ,4 ,22 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,11 ,1 ,1 ,38 ,1 ,1 ,1 ,8 ,0 ,0 ,3 ,1 ,0 ,6 ,0 ,1 ,1 ,151 ,99 ,6 ,1 ,257 ,1 
SB2,4,496.7,-1.4,1 ,0 ,0 ,12 ,0 ,0 ,121 ,2 ,0 ,0 ,0 ,7 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,15 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,1 ,1 ,0 ,0 ,1 ,18 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,3 ,1 ,0 ,1 ,6 ,3 ,1 ,27 ,2 ,2 ,0 ,18 ,0 ,0 ,3 ,0 ,0 ,4 ,0 ,0 ,1 ,174 ,92 ,4 ,0 ,271 ,0 
SB2,4,496.6,-1.5,0 ,1 ,0 ,13 ,0 ,1 ,94 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17 ,21 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,4 ,12 ,0 ,0 ,0 ,1 ,2 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,7 ,2 ,0 ,28 ,1 ,2 ,0 ,5 ,0 ,0 ,3 ,0 ,0 ,8 ,0 ,0 ,1 ,157 ,73 ,8 ,0 ,239 ,0 
SB2,4,496.5,-1.6,1 ,0 ,0 ,21 ,0 ,0 ,101 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,7 ,3 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,1 ,3 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,3 ,22 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,24 ,0 ,0 ,0 ,12 ,0 ,0 ,4 ,2 ,1 ,11 ,0 ,0 ,1 ,155 ,81 ,11 ,0 ,248 ,0 
SB2,4,496.4,-1.7,2 ,0 ,0 ,12 ,0 ,3 ,114 ,0 ,1 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17 ,15 ,3 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,1 ,4 ,1 ,3 ,0 ,1 ,1 ,0 ,0 ,0 ,3 ,34 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,5 ,0 ,1 ,19 ,1 ,0 ,0 ,13 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,2 ,185 ,80 ,6 ,0 ,273 ,0 
SB2,5,496.3,-1.8,2 ,0 ,0 ,10 ,0 ,0 ,106 ,1 ,0 ,0 ,0 ,3 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,21 ,3 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,27 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,4 ,4 ,1 ,34 ,0 ,1 ,0 ,12 ,0 ,0 ,0 ,0 ,2 ,6 ,0 ,0 ,2 ,157 ,89 ,6 ,0 ,254 ,0 
SB2,5,496.2,-1.9,1 ,0 ,0 ,8 ,0 ,0 ,108 ,0 ,1 ,0 ,0 ,4 ,1 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,7 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,2 ,1 ,0 ,1 ,1 ,0 ,0 ,3 ,24 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,2 ,1 ,35 ,0 ,1 ,1 ,12 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,3 ,1 ,152 ,97 ,5 ,3 ,255 ,3 
