Site,LU,Elevation,Depth,Cyperaceae,Typha/Sparganium,Alternanthera,Apiaceae,Argemone,Asteraceae HS,Asteraceae LS,Asteraceae Liguliflorae,Astragalus/Vicia,Brassicaceae,Caryophyllaceae,Cheno-Am,Cirsium,Convolvulaceae,Croton,Dipsacus,Echium,Euphorbiaceae,Fagopyrum,Fragaria,Gossypium,Impatiens,Lamiaceae,Liliaceae,Lythraceae,Melilotus,Mitchellia,Parthenocissus,Plantago II,Plantago,Poaceae,Polygonaceae,Polygonum,Ranunculaceae,Richardia,Rosa,Rosaceae,Rubus,Scrophulariaceae,Solanaceae,Trifolium,TRifolium repens,Urtica,Yucca,Cerealea,Zea mays,Acer,Ailanthus,Alnus,Betula,Carpinus,Carya,Castanea,Cephalanthus,Cornus,Corylus,Fabaceae,Fagus,Fraxinus,Ilex,Juglans nigra,Liquidambar,Liriodendron,Magnolia,Malus/Pyrus,Myrtaceae,Nyssa aquatica,Nyssa sylvatica,Ostrya,Picea,Pinus,Platanus,Prunus,Quercus,Rhus,Salix,Sambucus,TCT,Tilia,Tsuga,Ulmus,Viburnum,Vitis,Indeterminate,Unknown G,Osmunda,Aquatics,Herbs and Cultigens,Arboreal,Other,Ferns,Total Pollen Sum,Total Ferns
SB2,6,496.1,-2.0,1 ,0 ,0 ,6 ,0 ,1 ,134 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,11 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,2 ,22 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,1 ,0 ,22 ,0 ,0 ,0 ,11 ,0 ,1 ,1 ,0 ,0 ,4 ,0 ,0 ,1 ,172 ,68 ,4 ,0 ,245 ,0 
SB2,6,496.0,-2.1,0 ,0 ,0 ,5 ,0 ,0 ,127 ,0 ,0 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,9 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,27 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,8 ,1 ,1 ,18 ,1 ,0 ,0 ,15 ,0 ,0 ,1 ,0 ,1 ,5 ,0 ,0 ,0 ,160 ,82 ,5 ,0 ,247 ,0 
SB2,7,495.9,-2.2,1 ,0 ,0 ,9 ,0 ,0 ,148 ,1 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,7 ,10 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,2 ,3 ,2 ,1 ,0 ,0 ,0 ,1 ,15 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,11 ,3 ,0 ,19 ,0 ,1 ,0 ,8 ,0 ,1 ,1 ,0 ,1 ,8 ,0 ,0 ,1 ,192 ,67 ,8 ,0 ,268 ,0 
SB2,7,495.8,-2.3,0 ,0 ,0 ,14 ,0 ,2 ,148 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,11 ,6 ,0 ,0 ,0 ,4 ,1 ,3 ,0 ,0 ,1 ,1 ,0 ,0 ,4 ,0 ,0 ,2 ,0 ,1 ,0 ,2 ,18 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,5 ,1 ,3 ,17 ,1 ,1 ,0 ,9 ,0 ,0 ,1 ,0 ,1 ,10 ,1 ,0 ,0 ,202 ,66 ,11 ,0 ,279 ,0 
SB2,7,495.7,-2.4,5 ,0 ,0 ,5 ,0 ,1 ,166 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,18 ,1 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,3 ,2 ,1 ,0 ,1 ,0 ,1 ,3 ,6 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,18 ,4 ,2 ,23 ,1 ,1 ,0 ,11 ,0 ,1 ,0 ,0 ,0 ,4 ,0 ,1 ,5 ,215 ,75 ,4 ,1 ,299 ,1 
SB2,9,495.6,-2.5,3 ,0 ,0 ,7 ,0 ,5 ,127 ,1 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,6 ,20 ,3 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,0 ,0 ,8 ,4 ,0 ,0 ,0 ,0 ,0 ,2 ,7 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,26 ,1 ,2 ,25 ,0 ,0 ,0 ,9 ,0 ,2 ,0 ,1 ,0 ,7 ,0 ,0 ,3 ,191 ,82 ,7 ,0 ,283 ,0 
SB2,10,495.5,-2.6,1 ,0 ,0 ,3 ,0 ,4 ,143 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,17 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,1 ,4 ,11 ,0 ,1 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19 ,4 ,1 ,15 ,0 ,0 ,0 ,9 ,1 ,1 ,2 ,0 ,0 ,4 ,0 ,1 ,1 ,179 ,73 ,4 ,1 ,257 ,1 
SB2,10,495.4,-2.7,1 ,0 ,0 ,10 ,0 ,1 ,171 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,17 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,11 ,0 ,0 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,2 ,0 ,13 ,0 ,0 ,0 ,8 ,0 ,0 ,1 ,0 ,0 ,3 ,0 ,0 ,1 ,218 ,50 ,3 ,0 ,272 ,0 
SB2,11,495.3,-2.8,1 ,0 ,0 ,2 ,0 ,2 ,194 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,12 ,7 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,1 ,0 ,0 ,13 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,12 ,0 ,1 ,18 ,0 ,0 ,0 ,10 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,1 ,227 ,63 ,1 ,0 ,292 ,0 
SB2,11,495.2,-2.9,6 ,1 ,6 ,2 ,0 ,1 ,91 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,12 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,21 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,1 ,29 ,0 ,0 ,0 ,14 ,0 ,0 ,0 ,0 ,1 ,9 ,0 ,1 ,7 ,137 ,89 ,9 ,1 ,242 ,1 
SB2,11,495.1,-3.0,13 ,0 ,9 ,1 ,0 ,0 ,96 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,17 ,16 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,22 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,12 ,0 ,1 ,30 ,0 ,1 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,13 ,150 ,79 ,10 ,1 ,252 ,1 
SB2,11,495.0,-3.1,22 ,0 ,2 ,4 ,0 ,0 ,103 ,0 ,0 ,1 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,20 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,2 ,0 ,3 ,8 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,20 ,2 ,2 ,37 ,0 ,1 ,0 ,12 ,0 ,1 ,3 ,0 ,0 ,7 ,0 ,7 ,22 ,147 ,100 ,7 ,7 ,276 ,7 
SB2,11,494.9,-3.2,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
SB2,12,494.8,-3.3,19 ,1 ,10 ,4 ,0 ,2 ,78 ,0 ,0 ,1 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,19 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,4 ,4 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,3 ,34 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,16 ,2 ,2 ,28 ,0 ,2 ,0 ,11 ,0 ,0 ,0 ,0 ,1 ,9 ,0 ,1 ,20 ,142 ,104 ,9 ,1 ,275 ,1 
SB2,11,494.7,-3.4,4 ,0 ,17 ,2 ,0 ,1 ,87 ,0 ,0 ,1 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,7 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,2 ,1 ,0 ,1 ,33 ,0 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,17 ,2 ,4 ,30 ,0 ,1 ,0 ,12 ,0 ,0 ,1 ,0 ,1 ,6 ,0 ,0 ,4 ,134 ,110 ,6 ,0 ,254 ,0 
SB2,11,494.6,-3.5,6 ,0 ,3 ,7 ,0 ,1 ,94 ,0 ,0 ,5 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,11 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,2 ,0 ,2 ,0 ,0 ,1 ,28 ,0 ,2 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21 ,2 ,1 ,40 ,0 ,1 ,0 ,11 ,0 ,0 ,0 ,0 ,1 ,8 ,0 ,0 ,6 ,127 ,117 ,8 ,0 ,258 ,0 
SB2,13,494.3,-3.8,3 ,0 ,6 ,1 ,0 ,2 ,78 ,0 ,0 ,3 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,6 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,2 ,0 ,0 ,1 ,0 ,3 ,0 ,0 ,2 ,0 ,5 ,25 ,0 ,1 ,0 ,1 ,2 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,24 ,2 ,2 ,51 ,0 ,2 ,0 ,11 ,1 ,0 ,0 ,0 ,3 ,9 ,0 ,1 ,3 ,108 ,141 ,9 ,1 ,261 ,1 
SB2,13,494.1,-4.0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
SB2,13,493.9,-4.2,0 ,0 ,0 ,1 ,0 ,3 ,24 ,1 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,6 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,0 ,5 ,31 ,1 ,0 ,0 ,1 ,2 ,0 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,7 ,4 ,57 ,0 ,0 ,0 ,14 ,1 ,1 ,6 ,1 ,0 ,9 ,0 ,1 ,0 ,42 ,149 ,9 ,1 ,200 ,1 
SB2,13,493.7,-4.4,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
SB2,14,493.5,-4.6,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
SB2,14,493.3,-4.8,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
SB2,14,493.1,-5.0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
